8195620064853095|MasterCard|buy|21.42|1619.04
9601321503648962|Visa|buy|120.08|3230.9
4694436678795755|MasterCard|buy|391.5|4949.46
5150850946865702|MasterCard|buy|227.98|1424.74
9782029184388915|MasterCard|buy|129.94|2803.93
8599327120459815|Visa|buy|357.88|3474.53
9919850246844485|Visa|buy|156.8|4363.17
7428022822792545|MasterCard|buy|268.85|4887.52
5468146206009474|Visa|buy|431.17|2724.46
8682375389141346|Visa|buy|190.75|1607.93
6807391746609528|MasterCard|buy|92.35|3084.72
0169626228983615|MasterCard|buy|484.06|2840.25
2886837619452271|MasterCard|buy|440.81|1586.26
0206876761700415|MasterCard|buy|424.52|3161.13
9947077880582519|MasterCard|buy|22.71|2791.89
9482804234603152|Visa|buy|420.75|1599.45
0415668038649187|MasterCard|buy|93.63|1510.62
5796360870861493|Visa|buy|290.01|3876.74
0849928350894911|MasterCard|buy|355.46|4783.57
5474275929640897|Visa|buy|412.76|2955.11
9770695642429698|Visa|buy|230.74|2496.08
3514843661790773|Visa|buy|325.45|1438.69
3969307085690213|Visa|buy|118.24|3831.02
9478490110915932|MasterCard|buy|389.18|4069.77
3409148737927379|MasterCard|buy|292.85|3207.74
9666418214991030|MasterCard|buy|497.21|3678.37
1479706805119893|Visa|buy|187.52|2493.01
0210408442331337|Visa|buy|299.49|3405.26
9727400862866740|MasterCard|buy|69.55|4641.83
5300429856927204|Visa|buy|166.39|4416.76
8102622029662723|MasterCard|buy|31.85|2737.11
7742008583096266|Visa|buy|241.98|3593.23
8672963219466910|Visa|buy|336.25|3619.12
3762139755869507|MasterCard|buy|59.9|3722.11
8252838256107948|MasterCard|buy|22.89|2126.04
0241460595964690|Visa|buy|243.04|2977.03
4885772869031103|MasterCard|buy|187.4|1043.02
3948814186196934|Visa|buy|57.33|1784.94
6476138426776680|MasterCard|buy|364.78|1384.16
7650343710389292|Visa|buy|453.04|3457.63
0734306297111664|Visa|buy|82.13|1109.74
0627411862560789|MasterCard|buy|272.94|2410.54
2938640297190892|MasterCard|buy|260.03|4496.7
5542543721726367|MasterCard|buy|206.64|2251.37
4798110183753517|Visa|buy|113.48|1405.42
6092711211617279|MasterCard|buy|54.97|1467.12
4370066577797667|MasterCard|buy|65.71|3405.11
8915487109913901|Visa|buy|480.87|3003.62
8961333993968402|MasterCard|buy|307.76|4412.59
9179437904970158|Visa|buy|35.24|3175.37
7827210783717685|Visa|buy|200.82|2548.77
2478712153971677|MasterCard|buy|136.74|4047.32
9924596076400944|Visa|buy|399.61|2169.74
